ID,Name,Title,Father_ID,Mother_ID,Spouse_ID,Brother_ID,Sister_ID,Son_ID,Daughter_ID,,,,,
85,Isabella of Valois,Queen Consort of England,None,None,80,None,None,None,None,,,,,
86,Joan of Navarre,Queen Consort of England,None,None,81,None,None,None,None,,,,,
87,Anne de Mortimer,Duchess of Cambridge,None,None,83,None,None,96,None,,,,,
88,Mary de Bohun,Queen Consort of England,None,None,81,None,None,92,None,,,,,
89,Catherine of Valois,Queen Consort of England,None,None,"90,92",None,None,"91,102",None,,,,,
90,Owen Tudor,None,None,None,89,None,None,91,None,,,,,
91,Edmund Tudor,None,90,89,94,None,None,106,None,,,,,
92,Henry V,King of England,81,88,89,None,None,102,None,,,,,
93,Margaret of Anjou,Queen Consort of England,None,None,102,None,None,95,None,,,,,
94,Margaret Beaufort,None,None,None,91,None,None,106,None,,,,,
95,Edward of Lancaster,Duke of Lancaster,103,93,None,None,None,None,None,,,,,
96,Richard,Duke of York,83,87,97,None,None,"98,99",None,,,,,
97,Cecily Neville,Duchess of York,None,None,96,None,None,"98,99",None,,,,,
98,Edward IV,King of England,96,97,103,99,None,"100,101",104,,,,,
99,Richard III,King of England,96,97,None,98,None,None,None,,,,,
100,Richard ,Duke of York,98,103,None,101,104,None,None,,,,,
101,Edward V,King of England,98,103,None,100,104,None,None,,,,,
102,Henry VI,King of England,92,89,93,None,None,95,None,,,,,
103,Elizabeth Woodville,Queen Consort of England,None,None,98,None,None,"100,101",104,,,,,
104,Elizabeth of York,Queen Consort of England,98,103,105,"100,101",None,"106,107","114,118",,,,,
105,Henry VII,King of England,91,94,104,None,None,"106,107","114,118",,,,,
106,Arthur,Prince of Wales,105,104,108,107,"114,118",None,None,,,,,
107,Henry VIII,King of England,105,104,"108,109,110,111,112,000",106,"114,118",117,"115,116",,,,,
108,Catherine of Aragon,Queen Consort of England,,None,"106,107",None,None,None,115,,,,,
109,Anne Boleyn,Queen Consort of England,,None,107,None,None,None,116,,,,,
110,Jane Seymour,Queen Consort of England,,None,107,None,None,117,None,,,,,
111,Anne of Cleves,Queen Consort of England,,None,107,None,None,None,None,,,,,
112,Catherine Howard,Queen Consort of England,,None,107,None,None,None,None,,,,,
113,Catherine Parr,Queen Consort of England,,None,107,None,None,None,None,,,,,
114,Margaret Tudor,Queen Consort of Scotland,105,104,119,"106,107",118,122,None,,,,,
115,Mary I,Queen of England,107,108,123,None,None,None,None,,,,,
116,Elizabeth I,Queen of England,107,109,None,None,None,None,None,,,,,
117,Edward VI,King of England,107,110,None,None,None,None,None,,,,,
118,Mary Tudor,None,105,104,"120,121","106,107",114,None,124,,,,,
119,James IV,King of Scotland,None,None,114,None,None,122,None,,,,,
120,Louis XII,King of France,None,None,118,None,None,None,None,,,,,
121,Charles,Duke of Suffolk,None,None,118,None,None,None,124,,,,,
122,James V,King of Scotland,119,114,125,None,None,127,None,,,,,
123,Philip II,King of Spain,None,None,115,None,None,None,None,,,,,
124,Frances Brandon,Duchess of Suffolk,121,118,132,None,None,None,131,,,,,
125,Mary of Guise,None,None,None,122,None,None,None,127,,,,,
126,Anne of Denmark,Queen Consort of England,None,None,130,None,None,"134,137",135,,,,,
127,Mary ,Queen of Scotland,122,125,"128,129",None,None,130,None,,,,,
128,Frances II,King of France,None,None,127,None,None,None,None,,,,,
129,Henry Lord Damley,None,None,None,127,None,None,130,None,,,,,
130,James I,King of Britain,129,127,126,None,None,"134,137",135,,,,,
131,Lady Jane Grey,Queen of England,132,124,133,None,None,None,None,,,,,
132,Henry Grey,Duke of Suffolk,None,None,124,None,None,None,None,,,,,
133,Guilford Dudley,None,None,None,131,None,None,None,None,,,,,
134,Henry Frederick,Prince of Wales,130,126,None,137,135,None,None,,,,,
135,Elizabeth Stuart,,130,126,136,"134,137",None,None,139,,,,,
136,Frederick V,King of Bohemia,None,None,135,None,None,None,139,,,,,
137,Charles I,King of Britain,130,126,138,134,135,"142,144",140,,,,,
138,Henrietta Marie,Queen Consort of England,None,None,137,None,None,"142,144",140,,,,,
139,Sophia of Hanover,Electress of Hanover,136,135,157,None,None,155,None,,,,,
140,Mary Stuart,None,137,138,141,"142,144",None,147,None,,,,,
141,William II,Prince of Orange,None,None,140,None,None,147,None,,,,,
142,Charles II,King of Britain,137,138,143,144,140,None,None,,,,,
143,Catherine of Braganza,Queen Consort of England,None,None,142,None,None,None,None,,,,,
144,James II,King of Britain,137,138,"145,146",142,140,152,"148,149",,,,,
145,Anne Hyde,Queen Consort,None,None,144,None,None,None,"148,149",,,,,
146,Mary of Modena,Queen Consort,None,None,144,None,None,152,None,,,,,
147,William III,King of Britain,141,140,148,None,None,None,None,,,,,
148,Mary II,Queen of Britain,144,145,147,None,149,None,None,,,,,
149,Anne,Queen of Britain,144,145,150,None,148,None,None,,,,,
150,George ,Duke of Cumberland,None,None,149,None,None,None,None,,,,,
151,Marie Sobieski,None,None,None,152,None,None,153,None,,,,,
152,James Francis Stuart,The Old Pretender,144,146,151,None,None,153,None,,,,,
153,Charles Edward Stuart,Bonnie Prince Charlie,152,151,154,None,None,None,None,,,,,
154,Louisa Stolberg,None,None,None,153,None,None,None,None,,,,,
155,George I,King of Britain,157,139,156,None,None,158,160,,,,,
156,Sophia Dorothea,Queen Consort,None,None,155,None,None,158,160,,,,,
157,Ernst Augustus ,Elector of Hanover,None,None,139,None,None,155,None,,,,,
158,George II,King of Britain,155,156,159,None,160,"162,166","163,167,169",,,,,
159,Caroline of Ansbach,Queen Consort,None,None,158,None,None,"162,166","163,167,169",,,,,
160,Sophia Dorothea of Hanover,Princess of Great Britain,155,156,161,158,None,None,None,,,,,
161,Frederick William I,King of Prussia,None,None,160,None,None,None,None,,,,,
162,Frederick,Prince of Wales,158,159,165,166,"163,167,169","172,174,175,178","171,177",,,,,
163,Anne,Princess Royal and Princess of Orange,158,159,164,"162,166","167,169",None,None,,,,,
164,William IV,Stadtholder of the United Provinces of Netherlands,None,None,163,None,None,None,None,,,,,
165,Augusta of Saxe Coburg,Princess of Wales,None,None,162,None,None,"172,174,175,178","171,177",,,,,
166,William ,Duke of Cumberland,158,159,None,162,"163,167,169",None,None,,,,,
